Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Product Notes
1,EHR-6,JST Sales America Inc.,CONN RCPT HSG 6POS 2.50MM,"287,103",In Stock,,,,,,,,,
2,B6B-EH-A,JST Sales America Inc.,CONN HEADER VERT 6POS 2.5MM,"10,232",In Stock,,4,4,Bulk,455-1615-ND,0.27000,$1.08,1,
3,ESP32-S3-DEVKITC-1-N8R8,Espressif Systems,ESP32-S3-WROOM-1-N8R8 DEV BRD,0,Normally Stocking,,,,,,,,,
4,SN754410NE,Texas Instruments,IC HALF-H DRIVER 36V 16-PDIP,"5,366",In Stock,,1,1,Tube,296-9911-5-ND,4.52000,$4.52,1,
5,EG1224,E-Switch,SWITCH SLIDE SPDT 500MA 15V,"5,229",In Stock,,1,1,Bulk,EG2585-ND,1.48000,$1.48,1,
6,PPPC221LFBN-RC,Sullins Connector Solutions,CONN HDR 22POS 0.1 GOLD PCB,"2,121",In Stock,,2,2,Tray,S7055-ND,1.78000,$3.56,1,
7,TCRT5000,Vishay Semiconductor Opto Division,SENSOR OPTO TRANS 15MM REFL PCB,"2,885",In Stock,,5,5,Tube,751-1033-5-ND,1.60400,$8.02,1,
8,TSM480P06CH X0G,Taiwan Semiconductor Corporation,MOSFET P-CHANNEL 60V 20A TO251,"3,349",In Stock,,1,1,Tube,TSM480P06CHX0G-ND,1.80000,$1.80,1,
9,WP7113ID,Kingbright,LED RED DIFFUSED T-1 3/4 T/H,"96,702",In Stock,,1,1,Bulk,754-1264-ND,0.32000,$0.32,1,
10,MFR-25FRF52-100K,YAGEO,RES 100K OHM 1% 1/4W AXIAL,"80,329",In Stock,,1,1,Cut Tape (CT),13-MFR-25FRF52-100KCT-ND,0.14000,$0.14,1,
11,MFR-25FTE52-470R,YAGEO,RES 470 OHM 1% 1/4W AXIAL,0,Normally Stocking,,1,1,Cut Tape (CT),13-MFR-25FTE52-470RCT-ND,0.14000,$0.14,1,
12,35ZLH470MEFC10X16,Rubycon,CAP ALUM 470UF 20% 35V RADIAL TH,"191,971",In Stock,,1,1,Bulk,1189-1890-ND,1.02000,$1.02,1,
13,FG24X7R1H105KRT06,TDK Corporation,CAP CER 1UF 50V X7R RADIAL,"57,348",In Stock,,3,3,Cut Tape (CT),445-173374-1-ND,0.70000,$2.10,1,
14,1N4734A,onsemi,DIODE ZENER 5.6V 1W DO41,"8,168",In Stock,,1,1,Bulk,1N4734AFS-ND,0.32000,$0.32,1,
15,BK-18650-PC2,MPD (Memory Protection Devices),BATTERY HOLDER 18650 PC PIN,"2,467",In Stock,,2,2,Tray,BK-18650-PC2-ND,4.76000,$9.52,1,
16,EEU-EB1H100SH,Panasonic Electronic Components,CAP ALUM 10UF 20% 50V RADIAL TH,384,In Stock,,1,1,Cut Tape (CT),P19607CT-ND,0.42000,$0.42,1,
17,LM1117MPX-3.3/NOPB,Texas Instruments,IC REG LIN 3.3V 800MA SOT-223-4,"22,991",In Stock,,1,1,Cut Tape (CT),LM1117MPX-3.3/NOPBCT-ND,1.55000,$1.55,1,
18,1N5817-T,Diodes Incorporated,DIODE SCHOTTKY 20V 1A DO41,"58,119",In Stock,,1,1,Cut Tape (CT),1N5817DICT-ND,0.32000,$0.32,1,
19,MFR-25FRF52-10K,YAGEO,RES 10K OHM 1% 1/4W AXIAL,"118,267",In Stock,,10,10,Cut Tape (CT),13-MFR-25FRF52-10KCT-ND,0.05600,$0.56,1,
20,FG18X7R1H103KNT06,TDK Corporation,CAP CER 10000PF 50V X7R RADIAL,"11,857",In Stock,,2,2,Cut Tape (CT),445-173264-1-ND,0.30000,$0.60,1,
21,PPPC041LFBN-RC,Sullins Connector Solutions,CONN HDR 4POS 0.1 GOLD PCB,"19,116",In Stock,,2,2,Box,S7037-ND,0.55000,$1.10,1,
22,4007,Adafruit Industries LLC,ULT SEN TX/RX 3V/5.5V,273,In Stock,,,,,,,,,
23,SEH-001T-P0.6,JST Sales America Inc.,CONN SOCKET 22-30AWG CRIMP TIN,"77,300",In Stock - Value Added,,,,,,,,,
24,AIUR-06-470K,Abracon LLC,FIXED IND 47UH 3.2A 63 MOHM TH,"2,962",In Stock,,1,1,Bulk,535-13031-ND,1.33000,$1.33,1,
25,AP1509-50SG-13,Diodes Incorporated,IC REG BUCK 5V 2A 8SOP,"38,507",In Stock,,1,1,Cut Tape (CT),AP1509-50SGDICT-ND,1.86000,$1.86,1,
26,1N5822RL,STMicroelectronics,DIODE SCHOTTKY 40V 3A DO201AD,"19,311",In Stock,,1,1,Cut Tape (CT),497-14742-1-ND,0.37000,$0.37,1,
27,LR1F220R,TE Connectivity Passive Product,RES 220 OHM 1% 0.6W AXIAL,"13,524",In Stock,,10,10,Cut Tape (CT),1712-LR1F220RCT-ND,0.04300,$0.43,1,
28,35ZLH330MEFC10X12.5,Rubycon,CAP ALUM 330UF 20% 35V RADIAL TH,"18,236",In Stock,,1,1,Bulk,1189-1891-ND,0.89000,$0.89,1,
